Performer-Type,Random Features,Log Train Time,Log Inference Time,Training Time Per Epoch,Run Name,Test Accuracy
LearnableExp1,8,-12.29,-12.78,9.97,copper-serenity-108,68.15
LearnableReLU1,8,-12.48,-13.03,8.78,fragrant-meadow-109,70.85
LearnableExp2,8,-12.49,-12.96,8.68,warm-forest-110,68.34
LearnableReLU2,8,-12.54,-13.03,8.37,drawn-surf-111,71.02
exp,8,-12.58,-13.04,8.19,soft-durian-112,67.69
ReLU,8,-12.57,-13.04,8.2,cerulean-wind-113,70.46
Softmax,8,-12.45,-12.98,8.95,colorful-bird-114,72.9
LearnableExp1,16,-12.5,-13.0,8.64,gallant-sun-115,67.6
LearnableReLU1,16,-12.47,-13.03,8.82,robust-energy-116,71.28
LearnableExp2,16,-12.51,-13.0,8.58,zesty-energy-117,67.32
LearnableReLU2,16,-12.51,-13.0,8.57,proud-totem-118,70.62
exp,16,-12.53,-13.0,8.46,balmy-silence-119,67.42
ReLU,16,-12.53,-13.01,8.43,dandy-frog-120,70.54
Softmax,16,-12.42,-12.94,9.15,hearty-pine-121,73.37
LearnableExp1,32,-12.46,-12.96,8.86,dashing-glade-122,67.28
LearnableReLU1,32,-12.41,-12.97,9.19,legendary-eon-123,70.97
LearnableExp2,32,-12.45,-12.97,8.96,ancient-snowflake-124,68.94
LearnableReLU2,32,-12.45,-12.95,8.95,eager-bee-125,70.76
exp,32,-12.5,-13.01,8.62,wandering-grass-126,68.0
ReLU,32,-12.49,-12.98,8.7,restful-aardvark-127,71.87
Softmax,32,-12.27,-12.77,10.11,stoic-spaceship-128,73.92
LearnableExp1,64,-12.36,-12.85,9.49,splendid-frost-129,67.34
LearnableReLU1,64,-12.31,-12.85,9.85,confused-plasma-130,70.47
LearnableExp2,64,-12.33,-12.83,9.7,celestial-darkness-131,68.06
LearnableReLU2,64,-12.35,-12.85,9.61,fragrant-cherry-132,70.87
exp,64,-12.43,-12.91,9.09,lemon-lion-133,67.77
ReLU,64,-12.42,-12.91,9.1,misty-planet-134,70.48
Softmax,64,-12.29,-12.75,9.96,different-wood-135,72.96
LearnableExp1,4,-12.55,-13.04,8.32,warm-snowflake-136,68.32
LearnableReLU1,4,-12.48,-13.02,8.75,good-spaceship-137,70.98
LearnableExp2,4,-12.54,-13.03,8.4,olive-thunder-138,69.5
LearnableReLU2,4,-12.53,-13.02,8.47,ruby-grass-139,71.26
exp,4,-12.57,-13.03,8.22,comfy-dew-140,67.23
ReLU,4,-12.55,-13.02,8.35,fine-shadow-141,70.51
Softmax,4,-12.45,-13.01,8.95,avid-dew-74,71.5
